year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c53cdl73376,ca,37.0,23496.0,white,black,financial services remarketing (lease),49800.0,51250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f42cc009324,ca,27.0,33771.0,black,beige,ahfc/honda lease trust/hvt  inc. eot,16900.0,16200.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c51cdy28437,ca,44.0,43260.0,black,black,high bid trading co inc,29900.0,27750.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c58cc576081,ca,38.0,38006.0,gray,black,financial services remarketing (lease),38700.0,37500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,MINI,Cooper Clubman,Base,Hatchback,automatic,wmwzf3c57ct189809,ca,38.0,21924.0,red,black,high bid trading co inc,14250.0,12600.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c50cfj88662,ca,,57117.0,gray,—,onemain rem/manheim san francisco bay,22400.0,17500.0,Wed Dec 17 2014 00:00:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c58cdl72739,ca,43.0,30156.0,white,—,financial services remarketing (lease),48200.0,48500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c51cc965121,ca,34.0,49972.0,white,gray,financial services remarketing (lease),39800.0,40500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c57ce728838,ca,47.0,17453.0,blue,black,financial services remarketing (lease),30300.0,31250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c55cdl72357,ca,39.0,26391.0,white,—,financial services remarketing (lease),49100.0,51500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,1 Series,128i,Convertible,automatic,wbaun1c5xcvr00070,ca,47.0,30653.0,black,black,financial services remarketing (lease),23500.0,22000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,X3,xDrive28i,SUV,automatic,5uxwx5c56cl725811,ca,42.0,42148.0,gray,gray,financial services remarketing (lease),25700.0,29000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,bmw,750i,750i,,automatic,wbaka8c58cdx01066,ca,19.0,44274.0,black,black,financial services remarketing (lease),33300.0,33250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TL,Technology Package,Sedan,automatic,19uua8f55ca013536,ca,37.0,57367.0,black,black,ahfc/honda lease trust/hvt  inc. eot,19000.0,18000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Audi,S5,Premium Plus quattro,Coupe,automatic,waucvafr9ca017644,ca,37.0,22938.0,black,black,high bid trading co inc,35700.0,36500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Audi,Q5,3.2 Premium Plus quattro,SUV,automatic,wa1dkafp9ca031827,ca,41.0,38750.0,black,black,high bid trading co inc,31800.0,31250.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,bmw,750i,xdr 750i xdriv,,automatic,wbakc6c56cc396445,ca,47.0,15452.0,beige,gray,financial services remarketing (lease),42800.0,41500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c59cc964427,ca,42.0,43022.0,white,black,financial services remarketing (lease),41800.0,43750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,MDX,Technology and Entertainment Packages,SUV,automatic,2hnyd2h46ch518845,ca,41.0,37587.0,white,beige,trade in solutions irvine,29200.0,31000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740i,Sedan,automatic,wbaka4c55cc613607,ca,43.0,47390.0,black,black,financial services remarketing (lease),33100.0,34250.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,BMW,5 Series,550i,Sedan,automatic,wbafr9c52cdv58955,ca,4.0,43662.0,gray,gray,financial services remarketing (lease),38400.0,36500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Audi,A6,3.0T Premium quattro,Sedan,automatic,waubgafc5cn004304,ca,41.0,47513.0,white,brown,fratelli investment group,28500.0,28750.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c52cc963717,ca,38.0,43648.0,blue,beige,autobahn west enterprises inc,41600.0,40000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,7 Series,740Li,Sedan,automatic,wbakb4c5xcc576390,ca,45.0,29460.0,black,black,financial services remarketing (lease),40700.0,40500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c54cc808772,ca,44.0,37915.0,black,black,financial services remarketing (lease),33500.0,34000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f82cc003672,ca,46.0,91532.0,black,black,high bid trading co inc,15650.0,15000.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Coupe,automatic,wbake5c5xce755675,ca,39.0,38166.0,white,—,financial services remarketing (lease),21600.0,22750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Audi,A4,2.0T Premium quattro,Sedan,automatic,waubfafl7ca093223,ca,38.0,39272.0,blue,black,california auto exchange,19500.0,20250.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Sedan,automatic,wba3a5c54cf341317,ca,41.0,30875.0,white,—,financial services remarketing (lease),25700.0,41000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c50ce729202,ca,27.0,26285.0,gray,gray,financial services remarketing (lease),28800.0,26500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c5xcdl71849,ca,28.0,36051.0,gray,black,financial services remarketing (lease),46400.0,42900.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,Acura,ZDX,Technology Package,Hatchback,automatic,2hnyb1h47ch500760,ca,37.0,48115.0,black,—,high bid trading co inc,27000.0,28000.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2012,Audi,A4,2.0T Premium quattro,Sedan,automatic,waubfafl9cn004681,ca,38.0,48158.0,blue,gray,fratelli investment group,18650.0,19500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Convertible,automatic,wbalw7c54cc618689,ca,42.0,37688.0,white,—,financial services remarketing (lease),44200.0,45500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,3 Series,328i,Convertible,automatic,wbadw7c50ce728518,ca,47.0,35006.0,white,tan,financial services remarketing (lease),27800.0,27300.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c56cdw24135,ca,46.0,35638.0,blue,gray,financial services remarketing (lease),31500.0,31500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,5 Series,535i xDrive,Sedan,automatic,wbafu7c52cdu59166,ca,33.0,26936.0,gray,gray,financial services remarketing (lease),35800.0,34500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,640i,Coupe,automatic,wbalw3c59cc891863,ca,41.0,50362.0,white,white,high bid trading co inc,40500.0,42000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,bmw,750li,750li,,automatic,wbakb8c54cc963069,ca,49.0,46501.0,black,black,financial services remarketing (lease),40800.0,42500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Acura,MDX,Base,SUV,automatic,2hnyd2h22ch514452,ca,36.0,34643.0,gray,black,ahfc/honda lease trust/hvt  inc. eot,26600.0,27000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c5xcc808193,ca,28.0,36773.0,black,black,financial services remarketing (lease),33700.0,32500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c55cdl71077,ca,48.0,25070.0,silver,—,financial services remarketing (lease),49400.0,50000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab3cn322875,ca,35.0,65600.0,gray,black,dtg operations inc,7875.0,8300.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Ford,E-Series Wagon,E-350 Super Duty XL,Van,,1fbss3bl8cdb20464,ca,2.0,42804.0,white,gray,enterprise vehicle exchange / tra / rental / tulsa,16150.0,16000.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2012,Ford,Escape,Limited,SUV,automatic,1fmcu0eg0ckb55384,ca,35.0,45035.0,gray,beige,ford motor credit company llc pd,15450.0,14100.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab7cn259165,ca,35.0,38669.0,black,black,dtg operations inc,8975.0,9400.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2012,Ford,Edge,SEL,SUV,automatic,2fmdk3jc5cba41602,ca,46.0,20035.0,gray,black,ford motor credit company llc pd,20700.0,20800.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,X5,xDrive35i Premium,SUV,automatic,5uxzv4c56cl763245,ca,38.0,39302.0,black,gray,financial services remarketing (lease),36100.0,39750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Cadillac,SRX,Base,SUV,automatic,3gyfnge34cs551059,ca,35.0,64568.0,black,gray,us bank,16350.0,15750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcse06cg246240,ca,28.0,32104.0,silver,black,california republic bank,23300.0,23000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Ford,Edge,SEL,SUV,automatic,2fmdk4jc4cba12890,ca,46.0,41115.0,white,gray,ford motor credit company llc pd,19800.0,22100.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Ford,Focus,Titanium,Hatchback,automatic,1fahp3n21cl330426,ca,3.0,26747.0,red,black,remarketing by ge/chase lease remarketing co,12900.0,14000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Ford,Flex,Limited,Wagon,,2fmgk5dc5cbd10752,ca,,53527.0,silver,—,onemain rem/manheim southern california,19350.0,16750.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,Z4,sDrive28i,Convertible,automatic,wball5c57ce716603,ca,45.0,19767.0,black,black,financial services remarketing (lease),31000.0,32000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2012,BMW,X5,xDrive35d,SUV,automatic,5uxzw0c51cl663432,ca,36.0,38715.0,black,beige,financial services remarketing (lease),36400.0,34000.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2012,Chevrolet,Cruze,LT Fleet,Sedan,automatic,1g1pe5sc1c7112914,ca,39.0,69407.0,white,gray,hoehn honda,7950.0,9000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Chevrolet,Traverse,LS,SUV,automatic,1gnkveed2cj170787,ca,4.0,41873.0,white,gray,merchants automotive group,16600.0,18200.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5e0xcf381988,ca,29.0,67196.0,black,gray,the hertz corporation,8425.0,9300.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Ford,Focus,Titanium,Hatchback,automatic,1fahp3n22cl337238,ca,39.0,29499.0,black,black,ford motor credit company llc pd,12900.0,14900.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Ford,Focus,SE,Sedan,automatic,1fahp3f21cl196273,ca,3.0,64750.0,red,black,remarketing by ge/chase lease remarketing co,8150.0,8500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,automatic,1gc1kvcg7cf125051,ca,29.0,38079.0,white,—,merchants automotive group,24900.0,24750.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Ford,F-350 Super Duty,Lariat,Crew Cab,automatic,1ft8w3bt7cea57572,ca,42.0,31076.0,gray,black,us bank,41800.0,44750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Buick,Enclave,Leather Group,SUV,automatic,5gakrced3cj124033,ca,37.0,21147.0,silver,black,fiserv/usb dealer services northstar exchange,25800.0,24500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Ford,Fiesta,SES,Hatchback,automatic,3fadp4fj9cm137823,ca,25.0,38159.0,white,black,star ford lincoln,9250.0,5500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Chevrolet,Cruze,LT Fleet,Sedan,automatic,1g1pe5sc8c7272918,ca,27.0,60360.0,white,black,jpmorgan chase bank n.a.,8300.0,8800.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Ford,Escape,Limited,SUV,,1fmcu9eg8ckb92798,ca,2.0,65503.0,white,beige,hertz damaged liquidation,15200.0,6000.0,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
2012,FIAT,500,Sport,Hatchback,manual,3c3cffbr5ct382578,ca,28.0,37547.0,black,black,nvp remarketing,8575.0,8000.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,BMW,X5,xDrive35i Premium,SUV,automatic,5uxzv4c51cl889822,ca,33.0,56780.0,black,black,myrddin fleet services,30200.0,30000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Chrysler,200,LX,Sedan,automatic,1c3ccbab5cn208287,ca,21.0,55277.0,black,black,dtg operations inc,8750.0,6900.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Ford,Focus,SEL,Hatchback,automatic,1fahp3m26cl436775,ca,39.0,68306.0,white,black,mars auto,8700.0,8200.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Ford,Fiesta,SE,Hatchback,manual,3fadp4ej1cm105661,ca,37.0,36404.0,red,black,ford motor credit company llc pd,8700.0,8200.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Ford,Edge,SEL,SUV,automatic,2fmdk3jc3cba19503,ca,48.0,27952.0,burgundy,—,walters auto sales/service inc,19850.0,20000.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
2012,Ford,Edge,SEL,SUV,automatic,2fmdk3jc6cba33928,ca,41.0,31495.0,blue,black,ford motor credit company llc pd,19550.0,18300.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Ford,Escape,XLS,SUV,automatic,1fmcu0c7xckb67643,ca,45.0,84062.0,blue,gray,ford motor credit company llc pd,9250.0,9900.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Dodge,Journey,SXT,SUV,automatic,3c4pdcbgxct207887,ca,19.0,46816.0,silver,black,wheels exchange llc,12350.0,14400.0,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
2012,Ford,Edge,SE,SUV,automatic,2fmdk3gc4cba60486,ca,45.0,67529.0,silver,black,ford motor credit company llc pd,12900.0,10800.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Ford,Focus,SEL,Sedan,automatic,1fahp3h27cl120201,ca,37.0,89575.0,red,tan,wells fargo dealer services,7475.0,9000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,Z4,sDrive28i,Convertible,automatic,wball5c56ce716642,ca,37.0,41179.0,black,black,financial services remarketing (lease),30300.0,27500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Dodge,Charger,SRT8,Sedan,automatic,2c3cdxej5ch103303,ca,37.0,27842.0,black,black,high bid trading co inc,31600.0,34750.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2012,Ford,Flex,SE,Wagon,automatic,2fmgk5bcxcbd20762,ca,36.0,34682.0,gray,gray,ford motor credit company llc,16500.0,18100.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Ford,Flex,Limited,Wagon,automatic,2fmhk6dt5cbd09627,ca,39.0,44712.0,black,black,ford motor credit company llc pd,23800.0,24800.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,X5,xDrive50i,SUV,automatic,5uxzv8c51cl423542,ca,43.0,37269.0,gray,black,ge fleet services for itself/servicer,36500.0,36500.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,ford,e350,wagon v8 xlt,,automatic,1fdne3bl8cda87395,ca,35.0,84186.0,white,gray,vpsi  inc,12200.0,10300.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Chevrolet,Cruze,LS,Sedan,manual,1g1pd5sh5c7328067,ca,31.0,53563.0,silver,black,balboa thrift & loan association,8050.0,7500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,BMW,X5,xDrive35d,SUV,automatic,5uxzw0c59cl664537,ca,38.0,24720.0,gray,black,financial services remarketing (lease),38600.0,42500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Chevrolet,Camaro,LT,Convertible,automatic,2g1fc3d31c9123218,ca,29.0,35815.0,silver,gray,tdaf remarketing,16900.0,16100.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Chevrolet,Equinox,LT,SUV,automatic,2gnfleek0c6316896,ca,35.0,80435.0,silver,black,wheels exchange llc,12500.0,12400.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Chrysler,300,S V6,Sedan,automatic,2c3ccabg6ch183090,ca,43.0,27368.0,gray,black,orange county's credit union,21300.0,22000.0,Wed Dec 17 2014 12:05:00 GMT-0800 (PST)
2012,Ford,F-150,XLT,SuperCrew,,1ftew1cm9ckd05952,ca,46.0,51189.0,gray,gray,ford motor credit company llc pd,19700.0,20200.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Ford,Explorer,Base,SUV,automatic,1fmhk7b83cga31940,ca,19.0,44896.0,black,tan,galpin ford studio rentals,16550.0,19250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Ford,Escape,Limited,SUV,automatic,1fmcu0eg8cka50169,ca,24.0,35488.0,gray,black,premium auto wholesale,16000.0,14000.0,Thu Jan 08 2015 12:00:00 GMT-0800 (PST)
2012,BMW,X5,xDrive35d,SUV,,5uxzw0c57cl671289,ca,4.0,33400.0,gray,—,bmw of riverside,33200.0,28250.0,Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)
2012,FIAT,500,C Pop,Convertible,manual,3c3cffdr3ct355098,ca,43.0,27596.0,green,black,san diego sports cars,8725.0,10000.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2012,BMW,X3,xDrive28i,SUV,automatic,5uxwx5c50cl724217,ca,45.0,50002.0,gray,black,financial services remarketing (lease),25600.0,26000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5e04cf380576,ca,4.0,58781.0,white,gray,the hertz corporation/gm,8925.0,10000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Buick,Enclave,Leather Group,SUV,automatic,5gakrced0cj149925,ca,41.0,34807.0,beige,beige,fiserv/usb dealer services northstar exchange,24100.0,22000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Chevrolet,Captiva Sport,LTZ Fleet,SUV,automatic,3gnfl4e53cs609522,ca,3.0,58112.0,silver,black,the hertz corporation/gm,11900.0,11900.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e30c1116290,ca,41.0,56524.0,white,black,cig financial,9350.0,9200.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,automatic,1gc1kvcg3cf136273,ca,29.0,61464.0,white,black,merchants automotive group,22600.0,22500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Cadillac,Escalade,Luxury,SUV,automatic,1gys3bef3cr133032,ca,36.0,35551.0,black,black,fiserv/usb dealer services northstar exchange,36600.0,36500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Ford,Escape,Limited,SUV,automatic,1fmcu0e7xckc08558,ca,47.0,30843.0,white,beige,ford motor credit company llc pd,15750.0,16000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Dodge,Grand Caravan,American Value Package,Minivan,automatic,2c4rdgbgxcr138394,ca,44.0,97805.0,silver,black,wheels exchange llc,7975.0,8900.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2012,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pf5sc5c7318718,ca,42.0,26691.0,white,gray,ge fleet services for itself/servicer,10450.0,11500.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2012,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg2cr308102,ca,29.0,54064.0,black,beige,tdaf remarketing,10650.0,11750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2012,Ford,Edge,Limited,SUV,automatic,2fmdk3kc0cba63263,ca,42.0,24065.0,black,black,ford motor credit company llc pd,21100.0,23000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
